campaign_id,click_rate
1889,0.073078499
1890,0.685017733
1891,0.195551138
1892,0.198056048
1893,0.120924822
1894,0.032152756
1895,0.008536631
1896,0.028419659
1897,0.013926392
1898,0.032379748
1899,0.017101768
1900,0.018954446
1901,0.023806224
1902,0.03611959
1903,0.029486861
1904,0.013773459
1905,0.01049628
1906,0.020741228
1907,0.046311068
1908,0.061405722
1909,0.019816563
1910,0.032355602
1911,0.008829538
1912,0.009058531
1913,0.019765783
1914,0.015224881
1915,0.07246744
1916,0.009013019
1917,0.069471557
1918,0.028991685
1919,0.024562507
1920,0.051355901
1921,0.007181635
1922,0.197116887
1923,0.034521198
1924,0.046389073
1925,0.011973841
1926,0.008303225
1927,0.00886787
1928,0.053283023
1929,0.012051468
1930,0.012405997
1931,0.011337685
1932,0.060060706
1933,0.075965852
1934,0.009103109
1935,0.031529017
1936,0.008949014
1937,0.040498808
1938,0.009338067
1939,0.033876151
1940,0.010699634
1941,0.011663886
1942,0.013009635
1943,0.013788894
1944,0.010047696
1945,0.033968629
1946,0.00980701
1947,0.007332644
1948,0.006866803
1949,0.079428019
1950,0.007837773
1951,0.040462384
1952,0.00849541
1953,0.027301497
1954,0.011075394
1955,0.008284515
1956,0.113747998
1957,0.012654168
1958,0.07208955
1959,0.020867565
1960,0.232834432
1961,0.020280391
1962,0.011650087
1963,0.105111621
1964,0.130536207
1965,0.007447247
1966,0.064469674
1967,0.009993308
1968,0.055343541
1969,0.021157979
1970,0.007249713
1971,0.102573823
1972,0.008883445
1973,0.020611847
1974,0.13074999
1975,0.009076629
1976,0.022733905
1977,0.064933661
1978,0.009979096
1979,0.041336671
1980,0.012873051
1981,0.055962705
1982,0.008977073
1983,0.010191229
1984,0.025961894
1985,0.016015834
1986,0.04356606
1987,0.007041892
1988,0.016169935
1989,0.237894694
1990,0.237894694
1991,0.237894694
1992,0.009109247
1993,0.012938873
1994,0.012026105
1995,0.013162902
1996,0.016605586
1997,0.010708451
1998,0.059222022
1999,0.066214106
2000,0.017445237
2001,0.100541857
2002,0.019407548
2003,0.008015948
2004,0.011754584
2005,0.154184643
2006,0.124292806
2007,0.050366665
2008,0.034000541
2009,0.01345525
2010,0.019413073
2011,0.067506332
2012,0.009357777
2013,0.011219529
2014,0.067368418
2015,0.032533422
2016,0.018912485
2017,0.008034836
2018,0.039343297
2019,0.024841677
2020,0.039850532
2021,0.009507972
2022,0.027420562
2023,0.023619679
2024,0.02421856
2025,0.025840419
2026,0.028672795
2027,0.0240942
2028,0.010969826
2029,0.009090525
2030,0.098131202
2031,0.034210007
2032,0.065131122
2033,0.163648527
2034,0.006573008
2035,0.018436136
2036,0.127922456
2037,0.024436185
2038,0.009327417
2039,0.074190759
2040,0.262051698
2041,0.304173583
2042,0.023516073
2043,0.010312689
2044,0.027865106
2045,0.028756992
2046,0.056088618
2047,0.009299228
2048,0.009027769
2049,0.016048868
2050,0.213347744
2051,0.007926872
2052,0.0117994
2053,0.009339391
2054,0.026411019
2055,0.007488559
2056,0.122248963
2057,0.012712256
2058,0.007368316
2059,0.029014075
2060,0.02033552
2061,0.060469209
2062,0.09636065
2063,0.009653199
2064,0.040595978
2065,0.037683765
2066,0.008780493
2067,0.116343597
2068,0.012004108
2069,0.01980735
2070,0.069565668
2071,0.032426059
2072,0.01313896
2073,0.017819523
2074,0.013057318
2075,0.009874387
2076,0.085447368
2077,0.16974526
2078,0.1206222
2079,0.062644209
2080,0.09823788
2081,0.043611395
2082,0.125607864
2083,0.057466325
2084,0.090864869
2085,0.023120573
2086,0.010449316
2087,0.049342853
2088,0.02384568
2089,0.037360074
2090,0.022609068
2091,0.016066562
2092,0.036244071
2093,0.102131351
2094,0.066624078
2095,0.085277814
2096,0.06415818
2097,0.125729783
2098,0.012853586
2099,0.040088572
2100,0.00887192
2101,0.018052553
2102,0.108259397
2103,0.008542122
2104,0.07601251
2105,0.101670972
2106,0.037457223
2107,0.018217155
2108,0.014227283
2109,0.031037249
2110,0.226020356
2111,0.066172376
2112,0.064673135
2113,0.011012539
2114,0.009504337
2115,0.04752784
2116,0.103125099
2117,0.008053879
2118,0.022282338
2119,0.008711692
2120,0.009356371
2121,0.026526329
2122,0.011485061
2123,0.010662315
2124,0.01675542
2125,0.012302177
2126,0.117985132
2127,0.014219035
2128,0.009717791
2129,0.00973319
2130,0.019586696
2131,0.009060187
2132,0.010504077
2133,0.016626924
2134,0.009507852
2135,0.009965566
2136,0.008625663
2137,0.007941899
2138,0.008943468
2139,0.018164226
2140,0.02504112
2141,0.030605339
2142,0.128057498
2143,0.011645114
2144,0.009624212
2145,0.013280688
2146,0.012399776
2147,0.009846772
2148,0.019702591
2149,0.012842323
2150,0.016743953
2151,0.119772146
2152,0.010106165
2153,0.007481663
2154,0.012253323
2155,0.029503739
2156,0.012408679
2157,0.008863502
2158,0.010077673
2159,0.007815329
2160,0.030484
2161,0.028245711
2162,0.225427234
2163,0.009221762
2164,0.016009016
2165,0.029718682
2166,0.058818316
2167,0.02241724
2168,0.019818662
2169,0.03763425
2170,0.018503567
2171,0.012511846
2172,0.06724097
2173,0.010110129
2174,0.017055543
2175,0.008440668
2176,0.019400958
2177,0.039403186
2178,0.009357353
2179,0.0769218
2180,0.060095967
2181,0.012748265
2182,0.009662602
2183,0.177833777
2184,0.151237485
2185,0.00951949
2186,0.027379198
2187,0.024968958
2188,0.131104856
2189,0.011682844
2190,0.129408243
2191,0.073806914
2192,0.040444579
2193,0.017954807
2194,0.010862158
2195,0.00848592
2196,0.06892822
2197,0.241575833
2198,0.008902173
2199,0.009803567
2200,0.04701898
2201,0.008740018
2202,0.076455201
2203,0.008829836
2204,0.096530726
2205,0.230284996
2206,0.266533115
2207,0.017059412
2208,0.022042977
2209,0.016378972
2210,0.029564847
2211,0.077619481
2212,0.008003189
2213,0.009743164
2214,0.010411075
2215,0.011625617
2216,0.014027406
2217,0.124106454
2218,0.008207275
2219,0.063153073
2220,0.011048095
2221,0.009661287
2222,0.009555308
2223,0.038321619
2224,0.031262413
2225,0.026707121
2226,0.075280695
2227,0.02548274
2228,0.010780258
2229,0.020650398
2230,0.00926922
2231,0.3054968
2232,0.048250037
2233,0.3551646
2234,0.051059396
2235,0.075925536
2236,0.008897125
2237,0.009847997
2238,0.009000945
2239,0.335592497
2240,0.01270061
2241,0.008725266
2242,0.009771242
2243,0.010330918
2244,0.009061397
2245,0.05765577
2246,0.011819797
2247,0.011800239
2248,0.019497995
2249,0.024508967
2250,0.015091678
2251,0.007338653
2252,0.007811104
2253,0.00788424
2254,0.008762872
2255,0.008762872
2256,0.051728562
2257,0.009434357
2258,0.00986986
2259,0.007989694
2260,0.009787353
2261,0.010020073
2262,0.012272338
2263,0.01044325
2264,0.012014416
2265,0.010495749
2266,0.047061898
2267,0.00771974
2268,0.05330567
2269,0.007896642
2270,0.008078876
2271,0.008613526
2272,0.034194779
2273,0.092709889
2274,0.009240777
2275,0.009551241
2276,0.092472018
2277,0.151908296
2278,0.008519204
2279,0.037209805
2280,0.021466397
2281,0.010768886
2282,0.009602637
2283,0.075449661
2284,0.170680589
2285,0.009968827
2286,0.009534482
2287,0.014495096
2288,0.015817173
2289,0.099882343
2290,0.009647494
2291,0.07123227
2292,0.012398838
2293,0.009938035
2294,0.012287947
2295,0.009972969
2296,0.016904799
2297,0.010088272
2298,0.022777679
2299,0.010579635
2300,0.01120425
2301,0.016628634
2302,0.009519952
2303,0.009603769
2304,0.0253078
2305,0.009040036
2306,0.030355705
2307,0.066001932
2308,0.059744906
2309,0.009531615
2310,0.009338823
2311,0.014540903
2312,0.101295137
2313,0.009829622
2314,0.012270343
2315,0.008709916
2316,0.012282599
2317,0.059189633
2318,0.063806556
2319,0.033179288
2320,0.069324735
2321,0.018406192
2322,0.011939234
2323,0.012476346
2324,0.046378264
2325,0.011096676
2326,0.008573661
2327,0.018760085
2328,0.056328807
2329,0.017546377
2330,0.012640519
2331,0.030127065
2332,0.08726066
2333,0.042633192
2334,0.010018818
2335,0.068113051
2336,0.017433032
2337,0.031377429
2338,0.04938857
2339,0.013038412
2340,0.011348122
2341,0.010473572
2342,0.011278123
2343,0.012680195
2344,0.011146453
2345,0.022692006
2346,0.184885457
2347,0.015720204
2348,0.050842993
2349,0.026762196
2350,0.01269574
2351,0.027582869
2352,0.033977509
2353,0.316032517
2354,0.01456536
2355,0.027262895
2356,0.014104887
2357,0.019887434
2358,0.058868457
2359,0.010121663
2360,0.010619182
2361,0.051747181
2362,0.020130471
2363,0.013448582
2364,0.010707841
2365,0.025851263
2366,0.026939633
2367,0.109445233
2368,0.019929139
2369,0.240175539
2370,0.012465081
2371,0.10046089
2372,0.020735968
2373,0.010690644
2374,0.023125977
2375,0.014773982
2376,0.024898258
2377,0.013754496
2378,0.009167987
2379,0.032727734
2380,0.036903937
2381,0.086165478
2382,0.042496874
2383,0.015838127
2384,0.056523406
2385,0.017531317
2386,0.041625274
2387,0.014306878
2388,0.039961498
2389,0.158693761
2390,0.028008499
2391,0.047037649
2392,0.02175248
2393,0.021411488
2394,0.021828898
2395,0.012505951
2396,0.01327362
2397,0.232912652
2398,0.35569738
2399,0.254402604
2400,0.013080084
2401,0.027960521
2402,0.045793238
2403,0.088782523
2404,0.078655169
2405,0.051362778
2406,0.020837373
2407,0.035452702
2408,0.012939933
2409,0.04673216
2410,0.020480249
2411,0.2353147
2412,0.064725819
2413,0.108124164
2414,0.227603033
2415,0.02099569
2416,0.052917469
2417,0.011943109
2418,0.120050275
2419,0.034947274
2420,0.085532857
2421,0.054983057
2422,0.209468384
2423,0.088018751
2424,0.0135326
2425,0.013631181
2426,0.033754542
2427,0.030438319
2428,0.01780205
2429,0.026918075
2430,0.016214142
2431,0.024230158
2432,0.027636674
2433,0.081055466
2434,0.210683086
2435,0.014365499
2436,0.129053041
2437,0.032971229
2438,0.231215803
2439,0.09905375
2440,0.043937515
2441,0.013189691
2442,0.03060471
2443,0.135203058
2444,0.099533897
2445,0.042443253
2446,0.064911088
2447,0.061123471
2448,0.022171695
2449,0.11917942
2450,0.042375117
2451,0.1080791
2452,0.010474176
